id,location_category,golf_name,golf_address,golf_scale,golf_holes,golf_latitude,golf_longitude
229,전남,영산포체육공원파크골프장,전남 나주시 삼영동 131-1,,18,35.0017022,126.7065823
230,전남,영암파크골프장,전남 영암군 영암읍 영운재로 272,,18,000,000
231,경북,영양군파크골프장,경상북도 영양군 영양읍 삼지리 200 삼지수변공원 내,,18,36.6631341,129.1297715
232,강원,영월파크골프장,강원도 영월군 영월읍 하송리 81-74,,9,37.1727759,128.4587032
233,인천,영종파크골프장,인천광역시 중구 중산동 1878-2,,9,37.4897701,126.5543491
234,경북,영주파크골프장(1구장),경상북도 영주시 가흥동 1382 영주교 밑,,36,36.8213310,128.6140833
235,경북,영주파크골프장(2구장),경상북도 영주시 가흥동 46 가흥제1교 밑,,18,36.8165293,128.6154827
236,경북,영천조교파크골프장,경상북도 영천시 조교동 51-1,,36,35.9683282,128.9670617
237,경북,영해파크골프장,경상북도 영덕군 영해면 성내리 130 영해생활체육공원 내,,9,36.5250918,129.4059821
238,경북,예천파크골프장,경상북도 예천군 예천읍 서본리124,,36,36.6426002,128.4469969
239,세종,오가낭파크골프장,세종특별자치시 한누리대로651,,9,36.5222327,127.2587476
240,전남,오곡파크골프장,전남 곡성군 오곡천변내,,9,000,000
241,경남,오부파크골프장,경상남도 산청군 오부면 오잔리,,9,000,000
242,경북,오수파크골프장,경상북도 영천시 오수5길 75,,36,35.9552811,128.9194675
243,전북,온고을파크골프장,전라북도 전주시 덕진구 화전동 969-6 만경강하천,,18,35.8939205,127.0750482
244,경북,왜관파크골프장,경상북도 칠곡군 왜관읍 왜관리 1282,,18,35.9730485,128.3948703
245,경북,용상파크골프장,경상북도 안동시 용상동 구 안동병원앞,,9,000,000
246,경기,용인파크골프장,경기도 용인시 포고면 용인애버랜드 옆(체육공원내),,9,000,000
247,경남,용주파크골프장,경상남도 합천군 용주면 성산리 1085-1,,27,35.5635374,128.1430181
248,강원,용평파크골프장,강원도 평창군 용펑면 갈정지길 55-35,,9,000,000
249,대구,우보파크골프장,대구광역시 군위군 미성리 ,,9,36.1728,128.6687
250,경남,우주항공파크골프장,경상남도 사천시 정동면 예수리 420,,9,35.0692455,128.0856745
251,전남,운림삼별초파크골프장,전남 진도군 의신면 사천길 15-21,,18,000,000
252,경기,운정호수공원파크골프장,경기도 파주시 소리천로91,,9,37.7202230,126.7638089
253,울산,울주군 범서파크골프장,울산광역시 울주군 범서읍 천상리 1041-77번지 태화강변,,18,35.5638580,129.2393566
254,울산,울주군 청량 파크골프장,울산광역시 울주군 청량읍 덕하리 979-63,,18,35.4843508,129.3017491
255,경북,울진파크골프장,울진군 근남면 수산리 337-4,,36,36.9667657,129.4015775
256,경남,웅상파크골프장,경상남도 양산시 웅상읍 소주동 소남교 둔치,,18,000,000
257,경남,원동파크골프장,경상남도 양산시 원동면 용당들길 43-62,,9,35.3675273,128.9023620
258,대구,원오교파크골프장,대구광역시 달성군 현풍면 원교리 863 원오교,,18,35.6930272,128.4214903
259,강원,원주시파크골프장,강원도 원주시 태장동1346-16 둔치,,36,37.3630008,127.9513779
260,서울,월드컵파크골프장,서울특별시 마포구 하늘공원로 86,,18,37.5713993,126.8811307
261,제주,월라봉파크골프장,제주특별자치도 서귀포시 신효동 1188-5,,9,33.2664328,126.6075519
262,대구,유가한정파크골프장,대구광역시 달성군 유가읍 한정리 596-1 (차천변) ,,18,35.6431764,128.4596703
263,대전,유등파크골프장,대전광역시 서구 만년동 424 ,,18,36.3670779,127.3951356
264,대전,유성구 갑천파크골프장,대전광역시 유성구 탑립동 211-2,,36,36.4192895,127.4145360
265,경남,율곡파크골프장,경상남도 합천군 율곡면 영전리786-1,,18,35.5737828,128.2100872
266,대전,을미기파크골프장,대전광역시 대덕구 대덕대로1448번길 120 을미기공원 내,,18,36.4427317,127.4113219
267,충북,음성생극파크골프장,충청북도 음성군 생극면 신양리793-2,,18,37.0416285,127.5999560
268,경북,의성군파크골프장,경상북도 의성군 비안면 이두리 이두교,,36,000,000
269,경기,의정부파크골프장,경기도 의정부시 장암동146-10(호장교 밑),,18,37.7012454,127.0501049
270,경남,이방파크골프장,경상남도 창녕군 이방면 장천리 950,,15,35.6016655,128.3563992
